OTU_ID	CM08	CM07	A12	E05	CM05	CM09	CM06	CM02	T02	CM04	L04	P01	D09	CM11	CM10	S03	W08	CM03	CM12	C07	CM01	R11	F06	CM13	Z10	Taxonomy
OTU_3117	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Atractiellomycetes;o_Atractiellales;f_unidentified;g_Atractiellales_;s_Atractiellales_sp
OTU_6932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	k_Fungi;p_Basidiomycota;c_Atractiellomycetes;o_Atractiellales;f_unidentified;g_Atractiellales_;s_Atractiellales_sp
OTU_2972	2251	61	1288	0	907	353	0	44	709	208	1	73	0	445	28	2318	74	710	695	134	43	0	46	1201	666	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_unidentified;g_Auriculariales_;s_Auriculariales_sp
OTU_6348	73	146	18	0	3	3	2	1	4	0	0	124	0	430	0	23	1	3	10	161	22	0	25	3	6	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_unidentified;g_Auriculariales_;s_Auriculariales_sp
OTU_2558	78	11	1	5	0	4	0	0	0	0	0	0	37	2	0	0	12	0	7	1	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_unidentified;g_Auriculariales_;s_Auriculariales_sp
OTU_5068	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	9	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_unidentified;g_Auriculariales_;s_Auriculariales_sp
OTU_5758	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	47	0	0	0	8	0	171	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_unidentified;g_Auriculariales_;s_Auriculariales_sp
OTU_5591	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_unidentified;g_Auriculariales_;s_Auriculariales_sp
OTU_4742	0	2	0	0	0	0	15	0	219	1	0	1	0	1890	0	0	1	0	1	0	0	0	0	1	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_unidentified;g_Auriculariales_;s_Auriculariales_sp
OTU_100	3	201	123	0	73	150	2	6	0	3	0	0	191	31	6	1	67	12	735	1563	0	2	14	250	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_unidentified;g_Auriculariales_;s_Auriculariales_sp
OTU_61	19	14	0	0	42	23	0	1	121	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_unidentified;g_Auriculariales_;s_Auriculariales_sp
OTU_4841	1	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	2	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_unidentified;g_Auriculariales_;s_Auriculariales_sp
OTU_5463	0	0	0	0	10	0	0	1	2	0	0	341	0	0	0	3	0	0	0	13	0	0	7	775	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_unidentified;g_Auriculariales_;s_Auriculariales_sp
OTU_53	0	3	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_unidentified;g_Auriculariales_;s_Auriculariales_sp
OTU_653	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_unidentified;g_Auriculariales_;s_Auriculariales_sp
OTU_1735	0	70	1	0	0	1	0	0	0	0	0	19	0	26	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_unidentified;g_Auriculariales_;s_Auriculariales_sp
OTU_5333	0	2	0	0	0	0	1	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_unidentified;g_Auriculariales_;s_Auriculariales_sp
OTU_1695	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_unidentified;g_Auriculariales_;s_Auriculariales_sp
OTU_6517	0	1	0	0	15	0	0	0	21	0	0	0	0	0	0	1	0	0	13	17	0	1	0	216	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_unidentified;g_Auriculariales_;s_Auriculariales_sp
